jet_pt0,jet_pt1,jet_pt2,jet_pt3,jet_eta0,jet_eta1,jet_eta2,jet_eta3,jet_phi0,jet_phi1,jet_phi2,jet_phi3,jet_mass0,jet_mass1,jet_mass2,jet_mass3,jet_btag0,jet_btag1,jet_btag2,jet_btag3,jet_tautag0,jet_tautag1,jet_tautag2,jet_tautag3,missinget_met,missinget_phi
255.35721,183.90073,177.82967,149.3673,0.8946426,2.2653017,1.8190911,1.3324642,-2.0295875,1.2406375,0.8598474,2.0142643,27.117006,10.815066,10.225812,29.052032,0,0,0,0,0,0,0,0,65.34713,-1.8943452
132.8119,65.837746,56.35539,32.567654,-1.0766171,-0.9707892,-0.56422776,1.8679731,-3.0186615,0.5581656,0.034766935,-0.24877164,10.673543,9.080229,6.9890904,5.9911265,0,0,0,0,0,0,0,0,3.5232315,-2.4760053
199.55206,198.40448,75.61462,23.54676,-1.0741897,0.07483601,1.0507842,1.7473968,1.9969504,-1.4445593,0.81761533,-1.5099025,35.263546,32.5346,13.581479,6.434587,0,0,0,1,0,0,0,0,2.3195004,2.4581628
367.4681,311.9503,61.31041,26.05854,-1.1078335,-1.4287179,-0.7097613,-0.8291945,2.6875226,-0.51767766,-0.5525176,2.0799668,79.51885,10.003858,10.274639,6.1881523,0,0,0,0,0,0,0,0,7.462195,-0.30737188
148.17914,140.88252,63.122902,60.444218,0.78039175,0.52906215,-0.065534085,0.21930097,-0.2422466,-2.6291199,-2.1355617,1.4319588,9.98519,16.70637,20.785904,12.161003,0,0,0,0,0,0,0,0,0.5954934,2.428365
185.1065,154.04869,59.963097,42.248905,1.2517383,1.5465084,0.6080353,1.0674996,2.1885173,-1.0499492,2.8533885,0.18400931,12.5152855,21.37076,10.399902,7.0421643,0,0,0,0,0,0,0,0,6.3331513,2.6423657
130.87488,96.00495,79.94135,73.231636,2.0571318,-1.2048459,-2.1501856,-0.40318942,2.7582946,0.53419083,-0.79639214,3.017012,20.711329,10.621889,12.620031,11.723333,0,0,0,0,0,0,0,0,7.7062545,0.046157338
297.48514,227.81241,101.83052,90.94046,1.6590916,-0.08255896,1.2022115,1.2040737,-2.893459,0.19146673,0.6708651,1.7366996,49.853584,11.593762,17.401926,8.856601,0,0,0,0,0,0,0,0,10.548321,-2.1217773
260.59232,210.90974,176.72076,50.18965,-2.233225,-2.093333,-1.1616384,-2.3935094,2.529033,0.10764033,-1.718752,1.72113,9.857083,26.301073,15.779452,9.99964,0,0,0,0,0,0,0,0,3.7004466,1.4727173
475.70602,416.93857,95.59393,92.60289,-2.0089185,0.5302717,-1.9279345,0.43643716,2.3303354,-0.538021,-1.8988969,0.09614638,45.30554,10.657712,19.737967,10.195127,0,0,1,0,0,0,0,0,14.21435,-2.5525026
214.44292,186.02495,139.12581,87.21195,1.139236,1.121477,0.6244601,0.38337138,-0.6451446,2.0035176,-2.3912861,1.3771936,30.783524,12.9749365,19.891764,16.603342,2,0,0,0,0,0,0,0,4.243948,1.6144779
226.88518,171.37238,161.33424,132.51007,1.6852821,0.5206843,1.0597894,-0.1678374,2.6284149,-0.2563206,-0.34815288,-3.1402428,25.149744,10.334673,10.245766,11.7831955,0,0,0,0,0,0,0,0,7.664491,2.7514744
714.293,266.22702,210.36598,200.15053,-0.17212597,-0.70015,0.4725989,-0.81530154,-0.46185902,2.1907537,2.4308357,2.6598413,37.74785,28.054663,30.575169,10.698428,0,0,0,2,0,0,0,0,35.41779,-0.20097575
